Name,Type,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Habitat,Power,Size,Weight Class,Diet,Evolution Stage,Movement,Combat,Narrative
Torracat,Fire,7,9,5,8,5,9,"Forest, Urban",6,Small,3,Carnivore,2,Jumper,Underdog,Tracker
Incineroar,Fire|Dark,10,12,9,8,9,6,"Forest, Urban",10,Medium,4,Carnivore,3,Jumper,Darkvision,Tracker
Scorbunny,Fire,5,7,4,6,4,7,Grasslands,2,Small,1,Herbivore,1,Jumper|Quick,Underdog,
Raboot,Fire,7,9,6,6,6,9,Grasslands,4,Small,1,Herbivore,2,Jumper|Quick,Underdog,
Cinderace,Fire,8,12,8,7,8,12,Grasslands,6,Medium,3,Herbivore,3,Jumper|Quick,,
Fuecoco,Fire,7,5,6,6,4,4,Mountain,2,Small,1,Omnivore,1,Swimmer,Underdog,
Crocalor,Fire,8,6,8,9,6,5,Mountain,3,Medium,3,Carnivore,2,Swimmer,Underdog,Glow
Skeledirge,Fire|Ghost,10,8,10,11,8,7,Mountain,8,Medium,6,Carnivore,3,Swimmer,Mountable,Glow
Squirtle,Water,4,5,7,5,6,4,Wetlands,2,Small,1,Herbivore,1,Swimmer,Underdog,
Wartortle,Water,6,6,8,7,8,6,Wetlands,4,Medium,2,Herbivore,2,Swimmer,Underdog,
Blastoise,Water,8,8,10,9,11,8,Wetlands,9,Medium,4,Herbivore,3,Swimmer,Mountable,
Totodile,Water,5,7,6,4,5,4,Wetlands,2,Small,1,Carnivore,1,Swimmer,Underdog,
Croconaw,Water,7,8,8,6,6,6,Wetlands,5,Medium,2,Carnivore,2,Swimmer,Underdog,
Feraligatr,Water,9,11,10,8,8,8,Wetlands,8,Large,4,Carnivore,3,Quick|Swimmer,,
Mudkip,Water,5,7,5,5,5,4,Wetlands,2,Small,1,Herbivore,1,Swimmer,Underdog,Gilled
Marshtomp,Water|Ground,7,9,7,6,7,5,Wetlands,4,Small,3,Herbivore,2,Swimmer,Underdog,Gilled
Swampert,Water|Ground,10,11,9,9,9,6,Wetlands,7,Medium,4,Herbivore,3,Swimmer,,Gilled
Piplup,Water,5,5,5,6,6,4,"Ocean, Tundra",2,Small,1,Herbivore,1,Swimmer,Underdog,
Prinplup,Water,6,7,7,8,8,5,"Ocean, Tundra",3,Small,2,Herbivore,2,Swimmer,Underdog,
Empoleon,Water|Steel,8,9,9,11,10,6,"Ocean, Tundra",7,Medium,4,Omnivore,3,Quick|Swimmer,,
Oshawott,Water,6,6,5,6,5,5,Ocean,2,Small,1,Herbivore,1,Swimmer,"Underdog|Wielder (Martial, Melee)",
Dewott,Water,8,8,6,8,6,6,Ocean,3,Small,2,Herbivore,2,Swimmer,"Underdog|Wielder (Martial, Melee)",
Samurott,Water,10,10,9,11,7,7,Ocean,7,Medium,4,Herbivore,3,Swimmer,"Wielder (Martial, Melee)",
Hisuian Samurott,Water|Dark,10,11,8,10,7,8,Ocean,7,Medium,4,Herbivore,3,Swimmer,"Wielder (Martial, Melee)",
Froakie,Water,4,6,4,6,4,7,Wetlands,2,Small,1,Herbivore,1,Climber|Jumper|Swimmer,Underdog,Gilled
Frogadier,Water,5,6,5,8,6,10,Wetlands,2,Small,1,Herbivore,2,Climber|Jumper|Swimmer,Underdog,Gilled
Greninja,Water|Dark,7,10,7,10,7,12,Wetlands,3,Medium,3,Herbivore,3,Climber|Jumper|Swimmer,Wielder (Martial),Dead Silent|Gilled
Popplio,Water,5,5,5,7,6,4,Ocean,1,Small,1,Herbivore,1,Swimmer,Underdog,
Brionne,Water,6,7,7,9,8,5,Ocean,3,Small,2,Herbivore,2,Swimmer,Underdog,
Primarina,Water|Fairy,8,7,7,13,12,6,Ocean,5,Medium,3,Herbivore,3,Swimmer,,Alluring
Sobble,Water,5,4,4,7,4,7,Wetlands,2,Small,1,Omnivore,1,Climber|Jumper|Swimmer,Blender|Underdog,Gilled
Drizzile,Water,7,6,6,10,6,9,Wetlands,4,Small,2,Omnivore,2,Climber|Jumper|Swimmer,Blender|Underdog,Gilled
Inteleon,Water,7,9,7,13,7,12,Wetlands,5,Medium,3,Omnivore,3,Climber|Glider|Jumper|Swimmer,Blender,Gilled|Thermal Vision
Quaxly,Water,6,7,5,5,5,5,Wetlands,1,Small,1,Carnivore,1,Swimmer,Underdog,Fountain|Guster
Quaxwell,Water,7,9,7,7,6,7,Wetlands,2,Medium,2,Omnivore,2,Swimmer,Underdog,Fountain|Guster
Quaquaval,Water|Fighting,9,12,8,9,8,9,Wetlands,4,Medium,4,Omnivore,3,Swimmer,,
Caterpie,Bug,5,3,4,2,2,5,"Forest, Grasslands",1,Small,1,Herbivore,1,Climber|Slow,Threaded|Underdog,
Metapod,Bug,5,2,6,3,3,3,"Forest, Grasslands",1,Small,1,Nullivore,2,Slow,Threaded|Underdog,
Butterfree,Bug|Flying,6,5,5,9,8,7,"Forest, Grasslands",2,Medium,3,Herbivore,3,Flier,Threaded|Underdog,
Weedle,Bug|Poison,4,4,3,2,2,5,"Forest, Grasslands",1,Small,1,Herbivore,1,Climber|Slow,Threaded|Underdog,
Kakuna,Bug|Poison,5,3,5,3,3,4,"Forest, Grasslands",1,Small,1,Nullivore,2,Slow,Threaded|Underdog,
Beedrill,Bug|Poison,7,9,4,5,8,8,"Forest, Grasslands",4,Medium,3,Herbivore,3,Flier|Quick,Threaded|Underdog,
Wurmple,Bug,5,5,4,2,3,2,"Forest, Grasslands",1,Small,1,Herbivore,1,Climber|Slow,Threaded|Underdog,
Silcoon,Bug,5,4,6,3,3,2,"Forest, Grasslands",1,Small,1,Nullivore,2,Slow,Threaded|Underdog,
Beautifly,Bug|Flying,6,7,5,10,5,7,"Forest, Grasslands",3,Medium,3,Herbivore,3,Flier,Threaded|Underdog,
Cascoon,Bug,5,4,6,3,3,2,"Forest, Grasslands",1,Small,1,Nullivore,2,Slow,Threaded|Underdog,
Dustox,Bug|Poison,6,5,7,5,9,7,"Forest, Grasslands",2,Medium,3,Herbivore,3,Flier,Threaded|Underdog,
Sewaddle,Bug|Grass,5,5,7,4,6,4,"Forest, Grasslands",1,Small,1,Herbivore,1,Climber|Slow,Threaded|Underdog,
Swadloon,Bug|Grass,6,6,9,5,8,4,"Forest, Grasslands",2,Small,1,Herbivore,2,Slow,Threaded|Underdog,
Leavanny,Bug|Grass,8,11,8,7,8,9,"Forest, Grasslands",3,Medium,2,Herbivore,3,,Threaded,
Venipede,Bug|Poison,4,5,8,3,4,6,"Forest, Grasslands",1,Small,1,Herbivore,1,Climber,Underdog,
Whirlipede,Bug|Poison,4,6,10,4,8,5,"Forest, Grasslands",3,Medium,4,Herbivore,2,,Underdog,
Scolipede,Bug|Poison,7,10,10,6,7,11,"Forest, Grasslands",6,Large,6,Herbivore,3,Climber,Mountable,
Scatterbug,Bug,4,4,4,3,3,4,"Forest, Grasslands",1,Small,1,Herbivore,1,Climber|Slow,Threaded|Underdog,
Spewpa,Bug,5,2,6,3,3,3,"Forest, Grasslands",1,Small,1,Herbivore,2,Climber|Slow,Threaded|Underdog,
Vivillon,Bug|Flying,8,5,5,9,5,9,"Forest, Grasslands",1,Medium,2,Herbivore,3,Climber|Flier,Threaded|Underdog,
Grubbin,Bug,5,6,5,6,6,5,Forest,1,Small,1,Herbivore,1,Climber,Threaded|Underdog,
Charjabug,Bug|Electric,6,8,10,6,8,4,Forest,1,Small,1,Herbivore,2,Climber,Threaded|Underdog,
Vikavolt,Bug|Electric,8,7,9,15,8,4,Forest,4,Medium,3,Herbivore,3,Burrower|Flier,Threaded,
Blipbug,Bug,3,2,2,3,5,5,"Forest, Grasslands",1,Small,1,Herbivore,1,Climber|Slow,Threaded|Underdog,
Dottler,Bug|Psychic,5,4,8,5,9,3,"Forest, Grasslands",1,Small,2,Nullivore,2,Climber|Slow,Threaded|Underdog,Glow
Orbeetle,Bug|Psychic,6,5,11,8,12,9,"Forest, Grasslands",3,Small,3,Nullivore,3,Climber|Flier,Telekinetic|Threaded,Glow|Telepath
Deino,Dark|Dragon,5,7,5,5,5,4,Cave,3,Small,2,Carnivore,1,,Blindsense|Underdog,Mindlock
Zweilous,Dark|Dragon,7,9,7,7,7,6,Cave,7,Medium,4,Carnivore,2,,Blindsense|Underdog,Mindlock
Hydreigon,Dark|Dragon,9,11,9,13,9,10,Cave,6,Medium,5,Carnivore,3,Flier,Blindsense|Mountable,Mindlock
Pawniard,Dark|Steel,5,9,7,4,4,6,Urban,2,Small,1,Omnivore,1,Quick,Underdog,Pack Mon|Tracker
Bisharp,Dark|Steel,7,13,11,6,7,7,Urban,7,Medium,4,Omnivore,2,Quick,,Pack Mon|Tracker
Kingambit,Dark|Steel,11,14,14,6,8,5,Urban,10,Medium,4,Omnivore,3,Quick,,Pack Mon|Tracker
Impidimp,Dark|Fairy,5,6,3,7,4,5,Forest,1,Small,1,Nullivore,1,,Darkvision|Underdog,
Morgrem,Dark|Fairy,7,6,5,8,6,7,Forest,3,Small,2,Nullivore,2,,Darkvision|Underdog,
Grimmsnarl,Dark|Fairy,12,12,7,10,8,7,Forest,8,Medium,4,Nullivore,3,,Darkvision,
Dratini,Dragon,4,6,5,5,5,5,"Mountain, Ocean",1,Medium,1,Omnivore,1,Swimmer,Underdog,Gilled
Dragonair,Dragon,6,8,7,7,7,7,"Mountain, Ocean",3,Large,2,Omnivore,2,Flier|Swimmer,Mountable|Underdog,Aura Reader|Gilled
Dragonite,Dragon|Flying,9,13,10,10,10,8,Mountain,8,Large,6,Omnivore,3,Flier|Swimmer,Mountable,Aura Reader
Bagon,Dragon,5,8,6,4,3,5,"Cave, Mountain",4,Small,3,Carnivore,1,,Underdog,
Shelgon,Dragon,7,10,10,6,5,5,"Cave, Mountain",6,Medium,5,Nullivore,2,,Underdog,
Salamence,Dragon|Flying,10,14,8,11,8,10,"Cave, Mountain",6,Medium,5,Carnivore,3,Flier|Quick,Mountable,
Gible,Dragon|Ground,6,7,5,4,5,4,"Cave, Mountain",3,Small,2,Carnivore,1,Burrower,Underdog,
Gabite,Dragon|Ground,7,9,7,5,6,8,"Cave, Mountain",4,Medium,4,Carnivore,2,Burrower,Underdog,
Garchomp,Dragon|Ground,11,13,10,8,9,10,"Cave, Mountain",6,Large,4,Carnivore,3,Burrower|Flier|Jumper|Quick,Mountable,
Axew,Dragon,5,9,6,3,4,6,"Cave, Mountain",3,Small,2,Omnivore,1,,Underdog,
Fraxure,Dragon,7,12,7,4,5,7,"Cave, Mountain",4,Medium,3,Omnivore,2,,Underdog,
Haxorus,Dragon,8,15,9,6,7,10,"Cave, Mountain",8,Medium,5,Omnivore,3,,,
Goomy,Dragon,5,5,4,6,8,4,"Mountain, Wetlands",1,Small,1,Omnivore,1,Climber|Grounded|Slow,Underdog,Amorphous
Sliggoo,Dragon,7,8,5,8,11,6,"Mountain, Wetlands",2,Small,2,Omnivore,2,Climber|Grounded|Slow,Blindsense|Underdog,Amorphous|Repulsive
Goodra,Dragon,9,10,7,11,15,8,"Mountain, Wetlands",8,Large,5,Omnivore,3,Climber,,Amorphous|Repulsive
Hisuian Sliggoo,Dragon|Steel,6,8,11,8,8,4,Mountain,2,Small,4,Omnivore,2,Grounded|Slow,Underdog,Amorphous|Repulsive
Hisuian Goodra,Dragon|Steel,8,10,15,11,10,6,Mountain,8,Large,6,Omnivore,3,Grounded|Slow,,Amorphous|Repulsive
Jangmo-o,Dragon,5,6,7,5,5,5,Mountain,3,Small,3,Carnivore,1,,Underdog,
Hakamo-o,Dragon|Fighting,6,8,9,7,7,7,Mountain,6,Medium,3,Carnivore,2,,Underdog,
Kommo-o,Dragon|Fighting,8,11,13,10,11,9,Mountain,9,Medium,4,Carnivore,3,,,
Dreepy,Dragon|Ghost,3,7,3,5,3,9,Cave,1,Small,1,Nullivore,1,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent
Drakloak,Dragon|Ghost,7,8,5,6,5,10,Cave,3,Medium,2,Nullivore,2,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent
Dragapult,Dragon|Ghost,9,12,8,10,8,14,Cave,6,Huge,4,Nullivore,3,Flier|Phaser,Darkvision|Invisibility,Dead Silent
Frigibax,Dragon|Ice,7,8,5,4,5,6,"Cave, Tundra",3,Small,2,Carnivore,1,,Underdog,Chilled
Arctibax,Dragon|Ice,9,10,7,5,7,6,"Cave, Tundra",8,Small,3,Carnivore,2,,Underdog,Chilled
Baxcalibur,Dragon|Ice,12,15,9,8,9,9,"Cave, Tundra",11,Large,6,Carnivore,3,,,Chilled
Pichu,Electric,2,4,2,4,4,6,"Forest, Urban",1,Small,1,Herbivore,1,Jumper,Underdog,
Pikachu,Electric,4,6,4,5,5,9,"Forest, Urban",2,Small,1,Herbivore,2,Quick|Jumper,Underdog,
Raichu,Electric,8,12,6,12,8,11,"Forest, Urban",4,Small,3,Herbivore,3,,,
Alolan Raichu,Electric|Psychic,6,9,5,10,10,11,"Forest, Urban",4,Small,2,Herbivore,3,Flier,Telekinetic,
Magnemite,Electric|Steel,3,4,7,10,6,5,Urban,2,Small,1,Ergovore,1,Flier,Underdog,Breathless|Dead Silent|Magnetic
Magneton,Electric|Steel,5,6,10,12,7,5,Urban,4,Medium,4,Ergovore,2,Flier,Underdog,Breathless|Dead Silent|Magnetic
Magnezone,Electric|Steel,7,7,12,13,9,6,Urban,6,Medium,5,Ergovore,3,Flier,Mountable,Breathless|Dead Silent|Magnetic
Elekid,Electric,5,8,4,7,6,8,Urban,3,Small,2,Omnivore,1,,Underdog,
Electabuzz,Electric,7,8,6,10,9,11,Urban,5,Medium,3,Omnivore,2,,,
Electivire,Electric,8,12,7,10,9,10,Urban,7,Medium,5,Omnivore,3,,,
Mareep,Electric,6,4,4,7,5,4,Grasslands,1,Small,1,Herbivore,1,,Underdog,Glow
Flaaffy,Electric,7,6,6,8,6,5,Grasslands,3,Small,2,Herbivore,2,,Underdog,Glow
Ampharos,Electric,9,8,9,12,9,6,Grasslands,5,Medium,4,Herbivore,3,,,Glow
Shinx,Electric,6,7,4,4,4,5,Grasslands,2,Small,1,Carnivore,1,,Underdog,Pack Mon|Tracker
Luxio,Electric,6,9,5,6,5,6,Grasslands,4,Medium,3,Carnivore,2,Jumper|Quick,Underdog,Pack Mon|Tracker
Luxray,Electric,8,12,8,10,8,7,Grasslands,5,Medium,3,Carnivore,3,Jumper|Quick,Mountable,Pack Mon|Tracker|X-Ray Vision
Tynamo,Electric,5,6,4,5,4,6,Cave,1,Small,1,Ergovore,1,Flier|Swimmer,Underdog,Gilled|Glow
Eelektrik,Electric,7,9,7,8,7,4,Cave,4,Medium,2,Ergovore,2,Flier|Swimmer,Underdog,Gilled|Glow
Eelektross,Electric,9,12,9,12,9,6,Cave,6,Large,4,Ergovore,3,Flier|Swimmer,Mountable,Gilled|Glow
Pawmi,Electric,5,5,2,4,3,6,Grasslands,2,Small,1,Omnivore,1,,Underdog,
Pawmo,Electric|Fighting,6,8,4,5,4,9,Grasslands,3,Small,1,Omnivore,2,,Underdog,
Pawmot,Electric|Fighting,7,12,7,7,7,11,Grasslands,5,Small,3,Omnivore,3,,,Aura Reader
Cleffa,Fairy,5,3,3,5,6,2,"Cave, Space",1,Small,1,Herbivore,1,Slow,Underdog,
Clefairy,Fairy,7,5,5,6,7,4,"Cave, Space",2,Small,1,Herbivore,2,,Underdog,
Clefable,Fairy,10,7,7,11,10,6,"Cave, Space",4,Medium,3,Herbivore,3,,,
Togepi,Fairy,4,2,7,4,7,2,Urban,1,Small,1,Herbivore,1,Slow,Underdog,
Togetic,Fairy|Flying,6,4,9,8,11,4,Urban,3,Small,1,Herbivore,2,Flier,Underdog,
Togekiss,Fairy|Flying,9,5,10,12,12,8,Urban,6,Medium,3,Herbivore,3,Flier,,
Flabebe,Fairy,4,4,4,6,8,4,Grasslands,1,Small,1,Herbivore,1,Flier,Underdog,Alluring
Floette,Fairy,5,5,5,8,10,5,Grasslands,1,Small,1,Herbivore,2,Flier,Underdog,Alluring
Florges,Fairy,8,7,7,11,15,8,Grasslands,2,Small,1,Herbivore,3,Flier,,Alluring
Tinkatink,Fairy|Steel,5,6,5,4,6,5,Urban,5,Small,1,Herbivore,1,,"Wielder (Melee, Small)|Underdog",
Tinkatuff,Fairy|Steel,7,8,6,5,8,6,Urban,5,Small,4,Herbivore,2,,Wielder (Melee)|Underdog,
Tinkaton,Fairy|Steel,9,11,8,6,11,7,Urban,11,Small,5,Herbivore,3,,Reach|Wielder (Melee),
Machop,Fighting,7,8,5,4,4,4,Urban,5,Small,2,Omnivore,1,,Underdog,
Machoke,Fighting,8,10,7,5,6,5,Urban,8,Medium,4,Omnivore,2,,Underdog,
Machamp,Fighting,9,13,8,7,9,6,Urban,10,Medium,5,Omnivore,3,,,
Timburr,Fighting,8,8,6,3,4,4,Urban,4,Small,2,Omnivore,1,,Wielder (Melee)|Underdog,
Gurdurr,Fighting,9,11,9,4,5,4,Urban,8,Medium,3,Omnivore,2,,Wielder (Melee)|Underdog,
Conkeldurr,Fighting,11,14,10,6,7,5,Urban,12,Medium,4,Omnivore,3,,Wielder (Melee),
Magby,Fire,5,8,4,7,6,8,Cave,3,Small,2,Herbivore,1,,Underdog,Heater
Magmar,Fire,7,10,6,10,9,10,Cave,5,Medium,3,Omnivore,2,,Underdog,Glow|Heater
Magmortar,Fire,8,10,7,13,10,8,Cave,6,Medium,4,Omnivore,3,,,Glow|Heater
Fletchling,Normal|Flying,5,6,4,4,5,6,Grasslands,1,Small,1,Carnivore,1,Flier,Underdog,
Fletchinder,Fire|Flying,6,7,6,6,5,8,Grasslands,2,Small,2,Carnivore,2,Flier|Quick,Underdog,Heater
Talonflame,Fire|Flying,8,9,7,7,7,13,Grasslands,4,Medium,2,Carnivore,3,Flier|Quick,Mountable,Heater
Rookidee,Flying,5,6,5,3,5,6,Grasslands,1,Small,1,Omnivore,1,Flier,Underdog,
Corvisquire,Flying,7,7,6,4,6,8,Grasslands,3,Small,2,Omnivore,2,Flier,Underdog,
Corviknight,Flying|Steel,10,9,11,5,9,7,Grasslands,7,Large,4,Omnivore,3,Flier|Quick,Mountable,
Gastly,Ghost|Poison,3,4,3,10,4,8,Urban,1,Medium,1,Nullivore,1,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent
Haunter,Ghost|Poison,5,5,5,12,6,10,Urban,3,Medium,1,Nullivore,2,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent
Gengar,Ghost|Poison,6,7,6,13,8,11,Urban,4,Medium,3,Nullivore,3,Flier|Phaser,Darkvision|Invisibility|Shadow Meld,Dead Silent
Duskull,Ghost,2,4,9,3,9,3,"Forest, Urban",1,Small,2,Nullivore,1,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent
Dusclops,Ghost,4,7,13,5,13,3,"Forest, Urban",3,Medium,3,Nullivore,2,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent
Dusknoir,Ghost,5,10,14,7,14,5,"Forest, Urban",5,Large,5,Nullivore,3,Flier|Phaser,Darkvision|Invisibility,Dead Silent|Soul Seer
Litwick,Ghost|Fire,5,3,6,7,6,3,"Forest, Urban",1,Small,1,Nullivore,1,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent|Glow|Heater
Lampent,Ghost|Fire,6,4,6,10,6,6,"Forest, Urban",2,Small,2,Nullivore,2,Flier|Phaser,Darkvision|Invisibility|Underdog,Dead Silent|Glow|Heater
Chandelure,Ghost|Fire,6,6,9,15,9,8,"Forest, Urban",3,Medium,3,Nullivore,3,Flier|Phaser,Darkvision|Invisibility,Dead Silent|Glow|Heater
Gimmighoul (Roaming),Ghost,1,2,1,5,1,20,"Cave, Urban",1,Small,1,Nullivore,1,Phaser|Quick,Invisibility|Underdog,Breathless|Dead Silent
Gimmighoul (Chest),Ghost,6,3,10,10,10,1,"Cave, Urban",1,Small,1,Nullivore,2,,Underdog,Breathless
Gholdengo,Ghost|Steel,12,6,10,15,9,8,"Cave, Urban",5,Medium,3,Nullivore,3,Flier|Phaser,Invisibility,Breathless|Dead Silent
Oddish,Grass|Poison,5,5,6,8,7,3,"Forest, Grasslands",1,Small,1,Phototroph,1,,Underdog,
Gloom,Grass|Poison,6,7,7,9,8,4,"Forest, Grasslands",2,Small,1,Phototroph,2,,Underdog,Repulsive
Vileplume,Grass|Poison,9,8,9,11,9,5,"Forest, Grasslands",2,Medium,2,Phototroph,3,,,Repulsive
Bellossom,Grass,8,8,10,10,10,5,"Forest, Grasslands",2,Small,1,Phototroph,3,,,Alluring
Bellsprout,Grass|Poison,5,8,4,7,3,4,"Forest, Grasslands",1,Small,1,Phototroph,1,,Underdog,
Weepinbell,Grass|Poison,7,9,5,9,5,6,"Forest, Grasslands",2,Medium,1,Phototroph,2,,Underdog,
Victreebel,Grass|Poison,8,11,7,11,7,7,"Forest, Grasslands",4,Medium,2,Phototroph,3,,,
Hoppip,Grass|Flying,6,4,4,4,7,5,"Forest, Grasslands",1,Small,1,Phototroph,1,Flier,Underdog,
Skiploom,Grass|Flying,7,5,5,5,9,7,"Forest, Grasslands",2,Small,1,Phototroph,2,Flier,Underdog,
Jumpluff,Grass|Flying,8,6,8,6,11,12,"Forest, Grasslands",2,Small,1,Phototroph,3,Flier,,
Seedot,Grass,5,5,9,4,4,3,Forest,1,Small,1,Herbivore,1,Slow,Underdog,
Nuzleaf,Grass|Dark,8,9,4,7,4,6,Forest,4,Medium,2,Herbivore,2,,Darkvision|Underdog,
Shiftry,Grass|Dark,10,11,6,9,6,9,Forest,5,Medium,4,Herbivore,3,,Darkvision,Mindlock|Telepath
